"Feature","GSM468603.CEL.x","GSM468604.CEL.x","GSM468621.CEL.x","GSM468605.CEL","GSM468607.CEL","GSM468609.CEL.x","GSM468610.CEL.x","GSM468611.CEL.x","GSM468622.CEL.x","GSM468612.CEL","GSM468615.CEL.x","GSM468616.CEL.x","GSM468623.CEL.x","GSM468617.CEL","GSM468618.CEL","GSM468606.CEL","GSM468608.CEL","GSM468613.CEL","GSM468614.CEL","GSM468619.CEL","GSM468620.CEL"
"CCNL1",6.224382407,4.900792961,4.863075164,6.494302583,4.596100399,5.914288946,5.54596185,6.54816662,4.578286639,5.510603533,5.795537718,4.697074439,4.395373496,6.409042718,4.760689686,6.443177106,4.313645804,6.555784462,5.271815153,6.57046511,4.440933818
"CIAPIN1",9.765837958,9.703678116,9.605484064,9.129810579,9.013140633,9.69923571,9.633146002,9.016234266,9.491009515,9.048550614,9.675247597,9.676491121,9.587785988,9.246108455,8.919034525,9.769675186,9.835512252,9.579541765,9.609278608,9.802968367,9.615538366
"VPS35L",8.879297196,9.301617666,9.035686979,9.05174393,9.181357712,8.841668122,9.197485137,8.904798793,9.082841379,9.248722656,8.791081525,9.033165883,8.734714139,8.991797028,9.272542014,8.788014544,9.05755902,8.641600146,9.053003487,8.783667451,8.781260235
"SLC17A7",5.920588617,5.517555848,6.042567994,5.837104214,5.719914918,5.755797447,5.60366108,6.107599198,6.033167397,5.647933486,6.031758979,5.835002533,5.969233471,5.741733973,5.459863892,5.819354306,5.769153813,5.52188974,5.675234916,5.952083886,5.778115797
"ANKMY2",8.895456251,9.052392643,8.59074837,8.368410639,8.545783232,8.633915275,8.889672004,7.999497812,8.476348698,8.548553878,8.422673328,8.572210996,8.319251075,8.208995268,8.120496303,8.792360229,9.19246837,8.432975183,9.064328989,8.476084435,8.604202752
"RARS2",8.425986951,8.346095304,8.288322635,8.694163424,8.65392365,8.536430718,8.291380655,8.507990729,8.285850161,8.644628281,8.280872333,8.228160485,8.085387621,8.606057899,8.670754241,8.555736814,8.691806498,8.474132285,8.592218727,8.850617777,8.617551478
"TWSG1",8.849779595,8.061511354,8.87139764,9.350025047,8.815825019,8.969985086,8.141986509,9.233395875,8.749498372,8.414636769,8.902219684,8.115112211,8.529007111,9.256114394,8.686082143,9.408893605,8.428202925,9.206672399,8.606437208,9.261845409,8.588076707
"UTP3",9.75465746,8.916036481,9.135188564,9.899143904,9.371017736,9.90708566,9.129426425,9.760168583,9.198298213,9.311390219,9.641264673,9.168101491,9.38557524,9.857500185,9.042053918,9.84823774,8.945568558,9.695342899,9.030803614,9.842719837,9.072813673
"CHRNA10",3.629984561,3.688786465,4.213161826,4.080515748,4.185516728,4.341323506,3.82844137,3.941323664,4.093881448,3.979080713,4.156622259,3.996465888,4.438902721,4.019497762,3.804953028,4.153744301,3.990214995,3.969714608,3.903913854,4.019497762,4.019497762
"PCBP4",6.702445832,7.200795456,7.368024668,6.833392339,7.458983828,6.649787898,7.253126542,6.854618791,7.458624002,7.200590122,6.56698588,7.100849861,7.225863768,7.056401743,7.211487973,6.763936558,6.998976665,6.430587162,6.966806443,6.71189068,6.835968212
"HYMAI",5.149729599,4.861445623,4.668070528,5.09240148,5.022599415,5.599913049,5.444607755,4.900599597,4.934112077,5.215069262,4.723787738,4.512472367,4.792447231,4.934112077,4.770883165,4.858706381,4.892440059,5.498402742,5.604387433,4.934112077,4.659243104
