"Feature","GSM926651_Boeckel_K2.CEL","GSM926652_Boeckel_K3.CEL","GSM926653_Boeckel_K4.CEL","GSM926654_Boeckel_S2.CEL","GSM926655_Boeckel_S3.CEL","GSM926656_Boeckel_S4.CEL","GSM926657_Boeckel_K2.CEL","GSM926658_Boeckel_K3.CEL","GSM926659_Boeckel_K4.CEL","GSM926660_Boeckel_S2.CEL","GSM926661_Boeckel_S3.CEL","GSM926662_Boeckel_S4.CEL"
"LRP1",8.553016431,8.780307595,8.508768634,8.24516707,8.151278564,8.216890561,8.553016431,8.780307595,8.508768634,8.24516707,8.151278564,8.216890561
"LRP2",5.734967166,5.847453564,5.594406338,5.788144349,5.56273642,5.749352561,5.734967166,5.847453564,5.594406338,5.788144349,5.56273642,5.749352561
"LRP3",9.408845155,9.300235847,9.127606029,9.380990802,9.175521502,9.416924518,9.408845155,9.300235847,9.127606029,9.380990802,9.175521502,9.416924518
"LRP6",9.967945261,10.16095941,10.11009574,9.968785637,10.24655213,10.11593552,9.967945261,10.16095941,10.11009574,9.968785637,10.24655213,10.11593552
"HAPLN4",7.546134156,7.738558406,7.268504094,7.437831383,7.341828673,7.714776495,7.546134156,7.738558406,7.268504094,7.437831383,7.341828673,7.714776495
"CUEDC1",9.375155927,9.506871697,9.319751023,9.321245658,9.389338259,9.32113262,9.375155927,9.506871697,9.319751023,9.321245658,9.389338259,9.32113262
"LRP5",10.46142342,10.62806029,10.4838654,10.44458703,10.60109513,10.62031909,10.46142342,10.62806029,10.4838654,10.44458703,10.60109513,10.62031909
"WDFY3-AS2",6.280784931,6.238903089,6.019928021,6.250660973,6.156284635,6.203872766,6.280784931,6.238903089,6.019928021,6.250660973,6.156284635,6.203872766
"SPINK6",3.845404097,4.129638424,3.921610506,4.138322716,3.787043686,4.130289527,3.845404097,4.129638424,3.921610506,4.138322716,3.787043686,4.130289527
"CTXN1",9.223125564,9.300657231,9.386489121,9.410739354,9.341557987,9.50083734,9.223125564,9.300657231,9.386489121,9.410739354,9.341557987,9.50083734
"TEX56P",5.825650322,5.989969239,5.695191998,5.93387742,5.713302888,5.921475131,5.825650322,5.989969239,5.695191998,5.93387742,5.713302888,5.921475131
"YY2",8.715963314,8.782323847,8.878094736,8.825964795,8.750307952,8.832867743,8.715963314,8.782323847,8.878094736,8.825964795,8.750307952,8.832867743
"LRPAP1",12.23760993,12.27985039,12.24527679,12.18427726,12.17968691,12.24366583,12.23760993,12.27985039,12.24527679,12.18427726,12.17968691,12.24366583
"C16orf74",9.778285538,9.553343123,9.408166085,9.924276804,9.709262193,9.552096502,9.778285538,9.553343123,9.408166085,9.924276804,9.709262193,9.552096502
"SCGB1D4",5.838740116,5.851098412,6.137680701,6.121142904,5.625208095,5.872398451,5.838740116,5.851098412,6.137680701,6.121142904,5.625208095,5.872398451
"NANOGP1",4.812730622,5.498809553,5.256658293,5.20866584,4.7041239,5.021820902,4.812730622,5.498809553,5.256658293,5.20866584,4.7041239,5.021820902
"GTF2H5",9.152091832,9.060940408,9.153183497,9.227641847,9.357556652,9.023334796,9.152091832,9.060940408,9.153183497,9.227641847,9.357556652,9.023334796
"LSS",10.05863646,9.742318353,9.67972898,9.868607273,9.78097189,9.673334353,10.05863646,9.742318353,9.67972898,9.868607273,9.78097189,9.673334353
"NPSR1-AS1",4.533488382,4.700574369,4.478068905,4.563225245,4.474921581,4.60128741,4.533488382,4.700574369,4.478068905,4.563225245,4.474921581,4.60128741
"LTA4H",11.28109373,11.68889809,11.27197956,11.26683813,11.30302257,11.21062129,11.28109373,11.68889809,11.27197956,11.26683813,11.30302257,11.21062129
"LTA",7.062873955,7.007702542,7.131434413,7.115677999,6.842016405,7.228073763,7.062873955,7.007702542,7.131434413,7.115677999,6.842016405,7.228073763
"ARNT",10.81615849,10.86600736,10.89823359,10.53430109,10.73809184,10.56292884,10.81615849,10.86600736,10.89823359,10.53430109,10.73809184,10.56292884
"LTB",8.080707914,8.225000533,7.910586541,8.291555977,8.060143817,8.155754652,8.080707914,8.225000533,7.910586541,8.291555977,8.060143817,8.155754652
"LTBP1",10.62358795,10.75612082,10.69628364,10.64990204,10.59571332,10.51208124,10.62358795,10.75612082,10.69628364,10.64990204,10.59571332,10.51208124
"LTBP2",11.82140336,11.83478062,11.76024083,11.8503443,11.83325589,11.85320491,11.82140336,11.83478062,11.76024083,11.8503443,11.83325589,11.85320491
"LTBP3",10.30321981,10.52053822,10.37706228,10.21297692,10.39015694,10.3781306,10.30321981,10.52053822,10.37706228,10.21297692,10.39015694,10.3781306
"LTBR",11.12668157,11.17614254,11.03892591,11.25118646,11.37852577,11.22931674,11.12668157,11.17614254,11.03892591,11.25118646,11.37852577,11.22931674
"LTF",7.118222888,7.158884575,7.015466463,6.893247037,7.074148409,6.917082074,7.118222888,7.158884575,7.015466463,6.893247037,7.074148409,6.917082074
"DUOXA2",6.83634033,7.078353165,6.80458848,6.984640447,6.700721879,7.079181139,6.83634033,7.078353165,6.80458848,6.984640447,6.700721879,7.079181139
"ERVFRD-1",6.621785049,6.76833187,6.484543864,6.566371678,6.397481585,6.745637632,6.621785049,6.76833187,6.484543864,6.566371678,6.397481585,6.745637632
"LTK",7.26420486,7.291488661,7.070804094,7.224107661,7.242327592,7.245308977,7.26420486,7.291488661,7.070804094,7.224107661,7.242327592,7.245308977
"BCAM",9.164241058,9.103702322,8.934611816,8.974725466,8.925352144,8.921745544,9.164241058,9.103702322,8.934611816,8.974725466,8.925352144,8.921745544
"BMAL1",7.845398445,7.953826704,8.265012441,7.687182012,7.962678652,7.966783889,7.845398445,7.953826704,8.265012441,7.687182012,7.962678652,7.966783889
"LUM",6.5027267,6.706085029,6.886971324,6.150932003,5.648534953,5.820261413,6.5027267,6.706085029,6.886971324,6.150932003,5.648534953,5.820261413
"LY6H",8.014443975,8.237597691,7.840106069,7.918127828,7.820328778,7.880108067,8.014443975,8.237597691,7.840106069,7.918127828,7.820328778,7.880108067
"LY9",6.66591794,6.640647445,6.509265899,6.603921406,6.577137239,6.619213849,6.66591794,6.640647445,6.509265899,6.603921406,6.577137239,6.619213849
"CD180",5.042086178,5.052735768,4.866247271,4.937545796,4.636996964,4.922536638,5.042086178,5.052735768,4.866247271,4.937545796,4.636996964,4.922536638
