"Feature","X_9444360021_A","X_9444360021_B","X_9444360021_C","X_9444360021_D","X_9444360021_E","X_9444360021_F","X_9444360021_G","X_9444360021_H","X_9444360021_I","X_9444360021_J","X_9444360021_K","X_9444360021_L","X_9444360049_A","X_9444360049_B","X_9444360049_C","X_9444360049_D","X_9444360049_E","X_9444360049_F","X_9444360049_G","X_9444360049_H","X_9444360049_I","X_9444360049_J","X_9444360049_K","X_9444360049_L"
"ABCA7",4.54990570407899,4.37274135034353,4.42748865171283,4.63398457524986,4.30981086774018,4.30082908426116,4.355047934935,4.55147020287046,4.50368321756042,4.34129609291084,4.41032549714279,4.26190955217494,4.39132854533397,4.36077501849956,4.33074562221201,4.54864174996886,4.37931843058949,4.43779005116983,4.3421922388747,4.44791697479717,4.48465911903869,4.7127398516022,4.22592631695411,4.3409200225141
"ABCA8",4.27110458259123,4.42803820988619,4.33555602859217,4.49401728032379,4.21245054014734,4.42995500777284,4.77937768314467,4.43139076172865,4.39513719747767,4.21771446506199,4.30465319256491,4.21486647815095,4.54270900069448,4.4285451277818,4.37495012220215,4.39412561405773,4.3897775071799,4.48718822861987,4.3421922388747,4.49586655845581,4.3579209376443,4.33056180523561,4.27260430462157,4.31993499567912
"ABCA9",5.2368738109997,4.63293316691395,5.2659976538018,4.95090608203268,4.46604688328374,4.63798058502956,4.47229669720573,4.88021758330233,4.46173974109999,4.77074715596843,4.69775521030402,4.81048048503249,4.48423442703263,5.11287662039293,4.52598002404548,4.65236001526347,4.73656173597908,4.43413405796705,5.06498051790625,4.95803360348977,4.91012169747258,4.75839766594069,4.74659898398027,4.87834980504265
"ABCB1",5.03106857340238,5.30811468231262,5.24811713241165,4.58850238461313,4.74531732438939,5.02234321898434,4.58858332084761,4.68837506401627,4.43276229730708,4.48239965473207,4.9935072230041,4.67999169092339,5.02540802615829,4.62807044762739,4.76041390844574,4.79254283149364,4.89754713200636,4.69374257354408,4.82833692005986,4.75839766594069,4.76268708802588,4.55670378458575,4.76876436891347,4.62516374676152
"ABCB10",7.13472329764857,7.35725661574211,6.81436573536444,8.08824589950696,8.09346030417319,8.0873731550095,7.20534289965862,7.39646000300213,7.22851577068338,7.96883336890141,8.06085221394698,8.14947070231006,7.64417000027331,7.46884265166866,7.48987946077644,8.32521065812148,7.9423420251623,8.0443017152657,7.44408110230625,7.55164232305538,7.53053450414646,7.78384245278358,8.04272964165819,8.0968126911004
"ABCB11",4.38001173667469,4.55478237269613,4.52719587714634,4.81957018586372,4.50281419382163,4.25105158058945,4.38735339730287,4.50281419382163,4.26767672823919,4.87550501609555,4.51412402512108,4.48590298765891,4.27387398647576,4.33619569019002,5.01232176019471,4.52613732834811,4.74659898398027,4.43779005116983,4.51412402512108,4.41483318415402,4.54801376810725,4.44020160828182,4.47229669720573,4.59815847747241
"ABCB4",4.4257119105273,4.33065374469256,4.22485166035359,4.32218212668656,4.27219420300259,4.35851437351867,4.18136025413812,4.2116695855381,4.35288647308823,4.30618419188479,4.35074123948928,4.23789207315973,4.46001107699435,4.45431521106732,4.2929365165867,4.31374726589625,4.22638596537918,4.4257119105273,4.26968514697233,4.55876157334806,4.4594730806653,4.3862493246249,4.41435774829704,4.3098514973683
"ABCB5",4.3245390096535,4.30845872398093,4.25153492455517,4.31183369856182,4.37569314045275,4.20479249721614,4.32392078011827,4.32984731657466,4.30186052849943,4.2459935490146,4.28099340532243,4.2157469547113,4.19866335498749,4.28621115420342,4.2051196632442,4.2288780003263,4.3490965680068,4.21147824707192,4.28391405886282,4.27486973461274,4.19702874399395,4.27130620545863,4.27260430462157,4.17579293377471
"ABCB6",6.42423222323474,6.61819838915891,6.22182408278951,6.61415412438475,6.58195010802668,6.625522677434,6.87313349180398,6.39485150140472,6.7072982675314,6.37010192467876,6.40768853815428,6.29254725734127,7.25648162835537,7.35148927242187,7.19491859235534,6.73131574648561,7.04532473747328,7.0710574726907,6.52538651312316,6.77812872084447,6.98056527389409,6.44873180281012,6.46266871619387,6.59313847776636
"ABCB7",7.70899595960103,8.40951366510391,7.90458299240592,7.63190282783199,7.68095845447947,7.52747511455823,8.20274506021901,8.18701057732856,8.10256501083401,7.56289244294578,7.82982688928423,7.69502356002275,8.05950088954475,7.90281328213667,8.07585664195705,7.48545842418705,7.56855602641218,7.45717365874069,7.99845978553785,8.13382596969121,8.03782013749706,7.76894082284614,7.77606126013238,7.82272860650412
