"Feature","X_9444360021_A","X_9444360021_B","X_9444360021_C","X_9444360021_D","X_9444360021_E","X_9444360021_F","X_9444360021_G","X_9444360021_H","X_9444360021_I","X_9444360021_J","X_9444360021_K","X_9444360021_L","X_9444360049_A","X_9444360049_B","X_9444360049_C","X_9444360049_D","X_9444360049_E","X_9444360049_F","X_9444360049_G","X_9444360049_H","X_9444360049_I","X_9444360049_J","X_9444360049_K","X_9444360049_L"
"ABCB8",4.32244591519176,4.27439023210717,4.34469563280532,4.28776130409119,4.2973894082622,4.37044357269746,4.38190070582978,4.42521946843503,4.31183369856182,4.47229669720573,4.2613964800977,4.28723999439173,4.24681289801567,4.5611583929071,4.40035480132513,4.37877780021994,4.54115709539047,4.58453850939412,4.53837808803078,4.5218838561135,4.32984731657466,4.61546867490226,4.69320289562984,4.2323241908414
"ABCB9",4.58198274046646,4.52719587714634,4.64708069075673,4.49058675150162,4.41920118339096,4.43250880558313,4.41853861102482,4.52869621972853,4.64489199470948,4.91941618820539,4.47933775117918,4.42423500094968,4.4690912922997,4.30997512625374,4.43101217470603,4.49501914034323,4.29522593348412,4.31831460526915,4.58117095900734,4.36002009709588,4.71864540407956,4.51859626788748,4.3747417907699,4.47162035047281
"ABCC1",4.28445849418605,4.45451052678057,4.83732063902158,4.58453850939412,4.41625794767106,4.38461627232334,4.30788739734391,4.29545849847263,4.49933459817688,4.58593066381751,4.37718400509082,4.64269474696664,4.68939750830891,4.37985537302269,4.42803820988619,4.34317624873451,4.34631400883393,4.43126531255714,4.4217965446018,4.53913261036315,4.46254449662634,4.68486785628599,4.41186666997491,4.40206913991739
"ABCC10",5.22450716280706,5.10581548859945,5.39676318309644,5.20637207707932,4.88250637483521,5.43157271578013,4.96744473875891,5.06692391398673,5.39790345344851,5.03815169819464,5.62350897461674,5.37303595051831,5.00298475990704,5.12570901052414,4.94784531001179,4.78407552311768,5.17128263923262,5.23186013824787,5.54701717336149,4.8363864533322,5.2188068370668,5.29884102642323,5.18884187948437,4.68865654087438
"ABCC11",4.21651290524294,4.22298438699547,4.33318473439067,4.3397121871906,4.39898339131251,4.2288780003263,4.30537327012046,4.34986933727949,4.2761243432363,4.29723304928936,4.42890774987453,4.22242955406358,4.23448313914319,4.39960992760491,4.19674569746423,4.33209513354558,4.25645750543348,4.34517041846897,4.30186052849943,4.21503340233649,4.30344886312128,4.26801148429074,4.27260430462157,4.16284356443193
"ABCC12",4.21651290524294,4.23606555068462,4.25153492455517,4.28947308478981,4.3245390096535,4.34948578249578,4.25846285896746,4.33646841425635,4.25171668866582,4.29910217297619,4.30297021968198,4.39458154862033,4.30161940416762,4.32015415296592,4.33555602859217,4.18357570527566,4.27563705188656,4.2458170699112,4.31120718087147,4.41483318415402,4.25751904376251,4.259353254456,4.32913299237183,4.31374726589625
"ABCC13",4.24770317956716,4.29676902427519,4.33555602859217,4.25633429172602,4.29522593348412,4.25664456170999,4.30537327012046,4.22856566715168,4.2547178800169,4.28992195028531,4.21708511912337,4.25153492455517,4.23448313914319,4.25153492455517,4.28599257697331,4.26648220875655,4.2339404523572,4.32691153321563,4.22618307581693,4.28035216414543,4.30943716663036,4.32841867790703,4.21858557537726,4.18886817726468
"ABCC2",4.85511985867417,4.36012327408255,4.55876157334806,4.46639217054706,4.51456932715957,4.47189097799643,4.62377170994761,4.83184506712085,4.25601804744088,4.2595456148215,4.2543445308923,4.36447199083868,4.98838368930978,4.32620379067466,4.29848217639082,4.55970795974799,4.28056715358645,4.262429921314,4.28757686107572,4.27685755366634,4.37300316160878,4.29331512509673,4.21508213583082,4.2335607024294
"ABCC3",4.35762098561447,4.44403441086372,4.62275463248091,4.69681744050564,4.39322841287292,5.28428234244728,4.44972689626474,4.98215839364072,4.41020764483803,4.9142643959278,4.89040710496014,4.58321012630664,4.4690912922997,4.91407552371166,4.63415460998966,4.66539078930082,4.60418753662288,4.58898754735911,4.54919248418554,4.60824828695793,4.44739421870914,4.55670378458575,5.00588110563888,4.3340898819001
"ABCC4",6.83946321599082,6.80267478604072,6.64685519536818,7.64430521718004,7.50934424063694,7.53695760271937,7.08708452377454,7.02120865736432,6.92134220118546,7.64417000027331,7.71620333257611,7.63315998762747,7.48696711829122,7.48644763509503,7.61406385870651,7.85367192385335,7.85613867161001,7.87605495298393,7.24936798413773,7.40329406898879,7.25092771044285,7.73369164032602,7.35353068223233,7.73991958396717
