"Feature","HUVEC_scr_siRNA_1.CEL","HUVEC_USP10_siRNA_DLL4_1.CEL","HUVEC_USP10_siRNA_DLL4_2.CEL","HUVEC_USP10_siRNA_DLL4_3.CEL","HUVEC_USP10_siRNA_2.CEL","HUVEC_USP10_siRNA_3.CEL","HUVEC_scr_siRNA_DLL4_1.CEL","HUVEC_scr_siRNA_DLL4_2.CEL","HUVEC_scr_siRNA_DLL4_3.CEL","HUVEC_USP10_siRNA_1.CEL","HUVEC_scr_siRNA_2.CEL","HUVEC_scr_siRNA_3.CEL"
"ADARB2",5.347943441,5.371309161,4.966736844,5.294911913,5.207024433,5.311523563,5.335957443,5.165639038,5.412926974,5.224929196,5.303250171,5.478604095
"CEBPA",4.932419034,5.190990808,5.347996967,5.033451904,4.657517066,4.668619972,5.00298846,5.103033552,5.162927535,5.035546834,5.097753228,4.667341518
"SEMA6C",7.288903312,7.72627209,7.829164916,7.747116681,7.499947073,7.071623557,7.811998412,7.891306478,7.852224566,7.31132375,7.314169276,7.244410732
"SEMA6B",10.46875713,11.12061886,10.97282352,10.9792412,10.93807136,10.83865571,10.65361831,10.70860563,10.68896768,10.84925747,10.43922878,10.55201564
"SEMA4F",6.332539953,6.653476957,6.671077784,6.449439688,6.592588725,6.471214464,6.466662269,6.592252208,6.416635769,6.370724847,6.171623672,6.188510852
"SEMA4D",5.103792341,5.503218386,5.593397582,5.432288241,5.297257597,5.35470442,5.407917356,5.275366464,5.354436026,5.231131888,5.052957635,5.017093308
"SEMA4B",6.468239391,6.997146686,6.853532634,6.870823151,6.613965172,6.814408969,7.132011088,6.870374946,6.804140996,6.680337656,6.660100623,6.596671448
"CEBPB",6.350710732,6.546722393,6.43322518,6.445323216,6.481246099,6.424937377,6.472486856,6.346465465,6.453910045,6.297403457,6.451318204,6.426533404
"SEMA3C",3.526516957,3.531987469,3.989709123,3.845916916,3.77114261,3.637734996,3.510449611,3.313644273,3.256090578,3.901737224,3.751296329,3.475006772
"APPBP2",9.399190374,9.162172653,9.642698905,9.640297546,9.501790749,8.831954724,9.495712984,9.399901698,9.162305749,9.358077493,9.313320156,8.944868547
"MYBBP1A",8.579687923,8.255776618,8.188814575,8.17672857,8.245146268,8.457913833,8.12523735,8.093246661,8.122468446,8.364888486,8.376487633,8.488985188
"FBLN5",7.213711694,7.155736865,7.291363708,7.291982407,7.275408408,7.203022236,7.314165233,7.232774179,7.313973504,7.448503357,7.341163171,7.225014102
"FBXW10",2.7586897,2.832183559,2.880801487,2.632030514,2.408234028,2.771102169,2.364576927,2.802334952,2.263410627,2.796929532,1.918673077,2.373282297
"CIB2",6.188427595,6.12325374,6.334818326,6.228949964,6.3650313,6.071206019,6.51255722,6.265655685,6.477629254,6.267133024,6.042004698,6.033104541
"CIB1",6.770390013,7.307194713,6.978299676,7.424205484,7.137001271,7.143391964,7.289770431,7.42529533,7.556602811,7.016712245,6.846224097,7.003986779
"CEBPD",7.283516757,7.203684666,7.43486709,7.407265131,7.101466896,6.832960911,7.467387161,7.733886471,7.495768793,6.931398677,7.636771741,7.276205979
"ZNF211",5.330807772,5.656647045,5.585792789,5.691052186,5.458391856,5.280933302,5.608214123,5.860647603,5.491414395,5.544667683,5.037192482,5.148497255
"DDX17",10.36284121,10.18246992,10.38959672,10.39047551,10.36679696,10.27614059,10.44407225,10.43509511,10.32000617,10.25854901,10.17984005,10.2903292
"CHERP",8.549188686,8.415287065,8.536090269,8.507222333,8.435908022,8.508278831,8.546015439,8.504384969,8.439724882,8.5070688,8.514730939,8.525845245
"KAT5",6.590050132,6.653095194,6.556796313,6.534547928,6.327562618,6.629052692,6.514173598,6.568023666,6.736987755,6.680847467,6.283317301,6.653287441
"HYOU1",11.00893777,11.36036545,11.25168687,11.22796803,11.24885938,11.33491769,10.95862645,10.94229643,11.00727588,11.24781388,10.92455781,10.99286542
"IPO8",8.310929265,8.387546369,8.417347446,8.409393353,8.398545518,8.597563554,8.135369839,8.255557183,8.395822983,8.355114633,8.31450444,8.412605628
"IPO7",10.73087727,10.25677754,10.28497451,10.31426327,10.4832489,10.68104471,10.40838824,10.39862725,10.49926869,10.33330993,10.60325049,10.65006397
"NEBL",3.787667823,3.965780281,4.114046913,3.926865207,4.036314876,3.757394519,3.901667136,3.85561602,3.963563886,3.980932408,3.916656557,3.934293968
"CEBPE",4.951860826,4.832319793,4.633069489,4.697668386,4.292351442,4.761590278,4.797156128,4.848429846,4.71516486,4.582180068,4.6385999,4.710646362
"PITRM1",9.367512167,9.488662724,9.517867263,9.382049746,9.445155182,9.406096219,9.319664272,9.354715099,9.304796096,9.4230535,9.374573671,9.426228928
"ATG7",7.236267722,7.188327617,7.144450917,7.151811227,7.129671403,7.109272224,7.084874514,6.922036229,7.156142011,7.028735233,7.142390219,7.223246643
"ZNRD2",8.637620513,8.21500776,8.319688743,8.265167113,8.470633712,8.137306076,8.22229983,8.259385411,8.232042272,8.608887999,8.404328016,8.403938148
"RNASEH2A",8.270134822,8.223911686,8.096445209,8.100445949,8.403164282,8.447034722,7.954600843,8.047530636,7.996104905,8.47970096,8.073767176,8.395714614
"LINC02750",4.217922042,4.290371748,4.362814606,4.071550666,3.741298845,4.010297272,4.292554446,4.054785412,4.841315115,3.906522779,3.903553553,3.967909301
"PKD1P6-NPIPP1",7.972066192,7.800843638,7.89393457,7.886662789,7.905133178,7.79643161,7.831728396,7.824381815,7.615070032,7.824308478,7.940385407,7.851366002
"LOC105369165",2.239966292,1.845549216,2.610522891,2.004451106,2.248387187,2.119936199,2.054342512,2.380649643,2.142983816,2.325506155,2.142607106,2.494113068
"LOC105369167",2.024119644,2.382574758,2.151476507,2.077505438,2.274496086,1.981860368,2.01912763,2.204406197,2.124832282,2.022463708,2.030768072,2.181351088
"LOC105369183",5.266514707,5.030848907,4.76811411,5.072733639,4.743748006,5.241299166,5.212838124,4.790304528,5.24448678,4.926528705,5.063323075,4.857126852
"PPM1K-DT",4.031082723,4.443253201,4.440571952,4.056227594,4.482896763,3.676175606,4.261370678,4.49265101,4.16882967,3.794731787,4.138083345,4.00437837
"LOC105369199",3.318111001,3.003581916,3.533221812,3.313725656,3.23981618,3.229242282,3.080620933,3.056878355,3.46055714,3.340409398,3.210269574,3.199760017
"GCAWKR",4.33404111,3.899045329,3.836090039,4.274009889,3.986736329,4.379990171,4.260900263,4.113986332,4.052124618,3.97692839,4.074780757,4.420482257
"LOC105369209",4.485342364,4.766002809,4.419825758,4.743141153,4.381343539,4.259156934,4.930161397,4.072896809,4.276797457,4.545337757,4.519389992,4.696003717
"LOC105369213",4.498899395,4.436957623,3.82175863,4.454600585,4.433861817,4.176653842,4.508814769,4.188912333,4.435143165,4.658234061,4.464285578,4.722952436
"SIRPB3P",4.44877797,4.455124549,3.80752674,4.301888354,4.2341787,4.302614963,4.178914048,3.879827873,4.613703647,4.203442911,4.254988314,4.599453488
"LOC105369250",4.576288112,4.98985997,5.018259629,5.041922532,5.129400635,4.888010529,4.503008263,5.333383945,4.959799617,5.025966771,4.714919922,4.960939332
"LOC105369266",3.115282108,3.087226151,2.755949573,3.130860452,2.988214025,2.870650327,2.980424799,2.670999803,3.407165439,3.380900889,3.300323734,3.105929703
"SETD4-AS1",6.305686244,5.941682261,5.488702489,6.12661058,5.923423875,5.71338496,5.544924251,5.966397481,6.473952563,5.813211596,5.997077988,6.077082478
"CLDN14-AS1",9.395505475,9.977588145,9.984377065,9.919503158,9.899339993,9.721311581,9.78538871,9.866538866,9.689720056,9.897408455,9.482233323,9.413730532
"LOC105369304",4.632913738,4.173914033,4.624456833,4.398892477,4.041839161,4.304408086,4.421500969,4.449846475,4.480646175,4.472212037,4.32947318,4.387078963
"LOC105369306",4.69444253,4.879456294,4.447436974,4.724981485,4.414148734,4.402709406,4.544969971,5.108979427,4.768202049,4.505481916,4.218666795,4.786669451
"LINC02739",2.528402076,2.799167041,2.68093476,2.624393294,2.788426313,2.594570892,2.561996991,2.775754504,2.436781086,2.945144682,2.766863038,2.355946003
"PATL1-DT",2.777263641,2.770571101,3.03797963,2.931342922,2.725901717,2.99361695,3.020539581,3.064676845,2.735041469,2.85588879,2.352625396,2.8039056
"LINC02705",3.652267887,3.469418548,3.381310543,3.778836574,3.271891716,3.194019136,3.628369301,3.350063785,3.297599683,3.584070884,3.441648517,3.455654901
"LOC105369322",4.62897892,4.64275627,4.704217658,5.032925303,4.48392944,4.623838749,5.189360318,5.432636244,4.959226843,4.537586911,4.90237984,4.807668838
"TMEM109-DT",4.436401671,4.706773931,4.484361488,4.827361662,4.331780074,4.748365674,4.321429756,4.539991985,4.574032574,4.394105776,4.732531338,4.43763254
"LOC105369325",3.213542172,3.430522235,3.462150298,3.29336169,2.768479548,3.489243454,3.31155699,3.554313165,3.281278235,3.340310762,3.217285548,3.53608604
"LOC105369329",5.134164233,5.393976714,4.880923795,5.099062325,5.327938584,5.149166381,5.241834395,4.840392688,5.155926365,4.719642991,5.270339499,5.084665361
"LOC105369341",3.891609346,3.883904743,3.877512635,3.936413467,3.741004322,4.054404423,3.769498333,3.969795859,3.639209389,3.563996176,4.041029497,3.789333607
"MIR194-2HG",5.026873491,5.12487249,5.133993717,4.772346815,5.05613018,5.278820653,4.613876639,4.934929975,5.180986821,4.809995928,4.954592304,4.952519336
"LINC02736",3.434802398,3.369286481,3.364339967,3.240059217,2.923420801,3.557257171,3.303919947,3.320142852,3.28825694,3.214639324,3.242988469,3.198406739
"KLC2-AS2",5.465250449,5.455199469,5.275844407,5.128840328,5.153188917,5.44256289,5.606398786,5.33003003,5.358788205,5.515192881,5.368772507,5.226119382
"KLC2-AS1",4.260729411,4.561858807,4.376040997,4.341972301,3.97636399,4.301482008,4.453065512,4.188012983,4.706385379,4.419688863,4.203898482,4.502326721
"LINC02754",3.055339291,2.280910535,2.461975665,3.200644579,2.839182387,3.130751503,2.866566649,2.73577038,2.824669342,2.923470496,2.787177418,2.930688743
"CHKA-DT",4.341522407,4.472648705,4.332340959,4.586752773,4.321837152,4.572726089,4.453058835,4.411468532,4.501443337,4.269437278,4.131776075,4.497349925
"LOC105369363",4.726517591,4.717891123,5.040689845,4.91661242,5.063385637,5.093398461,4.831216012,4.58258998,5.182017235,4.794490928,4.8449771,4.639256111
"LINC02701",5.672456778,6.123040447,6.169722795,6.446293027,5.433706702,5.335780425,6.50931496,6.713645712,6.394749683,5.54594777,5.257050445,5.565113279
"LOC105369366",3.945196316,4.384499168,3.932962165,3.894387816,4.175950941,4.197437685,4.114457944,4.316765551,4.375508429,3.997113463,4.197437685,3.99160951
"LOC105369367",4.315283363,4.759403247,4.243783496,4.451835516,4.617577916,4.261701793,4.229156718,4.525084384,4.356571077,4.366666451,3.992327354,4.451440361
"LOC105369370",3.509911914,3.476089149,3.41942483,3.275606312,2.935329677,3.429576643,3.688662733,3.947420895,3.460600486,3.407409782,3.594769248,3.648845816
"LOC105369371",6.801914539,7.163108137,6.826860422,6.976916185,6.883551243,6.795511177,7.317186113,6.768039821,6.978768157,7.193075555,7.145661988,7.165040648
"LOC105369373",2.896960657,2.815800653,2.82342024,2.787618101,3.045315377,3.400660792,2.730173953,2.926721631,3.141659837,2.577712095,2.796649328,2.773341106
"LOC105369376",4.461836404,4.606853177,4.639922303,4.543433847,4.518114656,4.350530824,4.556603628,4.617923746,4.54881689,4.624883698,4.393319603,4.761464395
"PDE2A-AS2",4.775055194,4.842500725,4.423226087,4.559591303,4.440322678,4.367964198,4.557700591,4.333511231,4.411609772,4.659881909,4.868851775,4.720461467
"PDE2A-AS1",3.521147223,3.662811732,3.795179181,3.48400576,3.466996299,3.875327562,3.823929373,3.481020043,3.521458606,3.778179223,3.230064937,3.719469935
"IUR1",4.307386633,4.638826369,4.403640382,4.582880473,4.327617607,4.200728708,4.40844783,4.705165935,4.508811102,4.460341973,4.76344891,4.572973064
"LOC105369382",4.140532741,4.680544086,4.207965555,4.55730843,4.562401399,4.833710087,3.842999208,4.166745136,4.240272693,4.073678958,4.428750938,4.441865994
