genes,aliases
ACO2,"['Aconitate hydratase, mitochondrial', 'aconitase 2', 'EC 4.2.1.3', 'ICRD', 'OCA8', 'epididymis secretory sperm binding protein Li 284']"
ACOD1,"['Cis-aconitic acid decarboxylase', 'immune-responsive gene 1 protein homolog', 'IRG1', 'EC 4.1.1.6']"
ACOT1,"['Inducible cytosolic acyl-coenzyme A thioester hydrolase', 'LACH2', 'EC 3.1.2.-', 'CTE-Ib']"
ACOT11,"['Palmitoyl-coenzyme A thioesterase', 'START domain containing 14', 'BFIT1', 'KIAA0707', 'THEM1', 'StAR-related lipid transfer (START) domain containing 14', 'thioesterase superfamily member 1', 'EC 3.1.2.-']"
ACOT12,"['Cytoplasmic acetyl-CoA hydrolase 1', 'hCACH-1', 'THEAL', 'STARD15', 'StAR-related lipid transfer (START) domain containing 15', 'EC 3.1.2.1']"
ACOT13,"['Hotdog-fold thioesterase superfamily member 2', 'HT012', 'PNAS-27', 'THEM2', 'hypothalamus protein HT012', 'Acyl-coenzyme A thioesterase 13', 'EC 3.1.2.-']"
ACOT2,"['peroxisomal long-chain acyl-coA thioesterase 2', 'CTE1A', 'ZAP128', 'CTE-IA', 'EC 3.1.2.2']"
ACOT4,"['Peroxisomal acyl coenzyme A thioester hydrolase Ib', 'EC 3.1.2.3', 'PTE-2b', 'EC 3.1.2.2']"
ACOT6,"['putative acyl-coenzyme A thioesterase 6', 'chromosome 14 open reading frame 42', 'C14orf42', 'c14_5530', 'EC 3.1.2.-']"
ACOT7,"['Cytosolic acyl coenzyme A thioester hydrolase', 'LACH1', 'CTE-II', 'CTE-IIa', 'MGC1126', 'EC 3.1.2.2']"
ACOT8,"['Peroxisomal acyl-coenzyme A thioester hydrolase 1', 'thioesterase III', 'hACTE-III', 'PTE-1', 'Nef (lentivirus myristoylated factor) associated protein 1', 'Peroxisomal long-chain acyl-CoA thioesterase 1', 'EC 3.1.2.11']"
ACOT9,"['Acyl-coenzyme A thioesterase 9, mitochondrial', 'EC 3.1.2.-', 'MT-ACT48', 'EC 3.1.2.15']"
ACOX1,"['Peroxisomal acyl-coenzyme A oxidase 1', 'Palmitoyl-CoA oxidase', 'PALMCOX', 'EC 1.3.3.6']"
ACOX2,"['peroxisomal branched chain acyl-CoA oxidase', 'THCA-CoA oxidase', 'BRCACOX', '3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA 24-hydroxylase', '3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA oxidase', 'CBAS6', 'EC 1.17.99.3']"
ACOX3,"['Peroxisomal acyl-coenzyme A oxidase 3', 'BRCACox', 'EC 1.3.3.6']"
ACOXL,"['Acyl-coenzyme A oxidase-like protein', 'FLJ11042', 'EC 1.3.3.-']"
ACP1,"['Low molecular weight cytosolic acid phosphatase', 'HAAP', 'LMW-PTPase', 'Low molecular weight phosphotyrosine protein phosphatase', 'acid phosphatase 1', 'EC 3.1.3.48']"
ACP2,"['acid phosphatase 2, lysosomal', 'EC 3.1.3.2']"
ACP3,"['Protein tyrosine phosphatase ACP3', 'Acid phosphatase 3', 'TM-PAP', ""5'-nucleotidase"", 'ACP-3', ""Ecto-5'-nucleotidase"", 'EC 3.1.3.48']"
ACP4,"['acid phosphatase, testicular', 'AI1J', 'EC 3.1.3.2']"
ACP5,"['Tartrate-resistant acid phosphatase type 5', 'TrATPase', 'TR-AP', 'Tartrate-resistant acid ATPase', 'EC 3.1.3.2']"
ACP6,"['Lysophosphatidic acid phosphatase type 6', 'PACPL1', 'EC 3.1.3.2']"
ACP7,"['acid phosphatase 7, tartrate resistant (putative)', 'FLJ16165', 'PAPL1', 'EC 3.1.3.2']"
ACR,"['preproacrosin', 'acrosin light and heavy chain prepropeptide', 'EC 3.4.21.10']"
ACRBP,"['Acrosin-binding protein, 60 kDa form', 'SP32', 'Cancer/testis antigen OY-TES-1', 'CT23', 'Proacrosin-binding protein sp32']"
ACRV1,"['Acrosomal vesicle protein 1', 'SPACA2', 'sperm protein 10', 'D11S4365']"
ACSBG1,"['Acyl-CoA synthetase bubblegum family member 1', 'bubblegum', 'FLJ30320', 'MGC14352', 'hsBGM', 'KIAA0631', 'Lipidosin', 'GR-LACS', 'Long-chain-fatty-acid--CoA ligase ACSBG1', 'EC 6.2.1.3']"
ACSBG2,"['Acyl-CoA synthetase bubblegum family member 2', 'BRGL', 'PRTD-NY3', 'DKFZp434K1635', 'testicular tissue protein Li 8', 'Long-chain-fatty-acid--CoA ligase ACSBG2', 'EC 6.2.1.15']"
ACSF2,"['acyl-CoA synthetase family member 2, mitochondrial', 'FLJ20920', 'ACSMW', 'AVYV493', 'PPARG binding, long chain fatty acid acyl Co-A ligase like', 'EC 6.2.1.26']"
ACSF3,"['acyl-CoA synthetase family member 3, mitochondrial', 'EC 6.2.1.n3']"
ACSL1,"['acyl-CoA synthetase long chain family member 1', 'LACS 1', 'LACS 2', 'EC 6.2.1', 'fatty-acid-Coenzyme A ligase, long-chain 1', 'EC 6.2.1.15']"
ACSL3,"['acyl-CoA synthetase long chain family member 3', 'LACS 3', 'PRO2194', 'fatty-acid-Coenzyme A ligase, long-chain 3', 'EC 6.2.1.15']"
ACSL4,"['acyl-CoA synthetase long chain family member 4', 'LACS 4', 'mental retardation, X-linked 63', 'XLID63', 'MRX63', ' long-chain fatty-acid-Coenzyme A ligase 4', 'EC 6.2.1.15']"
ACSL5,"['acyl-CoA synthetase long chain family member 5', 'LACS 5', 'fatty-acid-Coenzyme A ligase, long-chain 5', 'EC 6.2.1.15']"
ACSL6,"['acyl-CoA synthetase long chain family member 6', 'KIAA0837', 'LACS 6', 'EC 6.2.1', 'fatty-acid-Coenzyme A ligase, long-chain 6', 'EC 6.2.1.15']"
ACSM1,"['Xenobiotic/medium-chain fatty acid-CoA ligase HXM-B', 'BUCS1', 'Acyl-CoA synthetase medium-chain family member 1', 'Lipoate-activating enzyme', 'EC 6.2.1.25']"
ACSM2A,"['Acyl-CoA synthetase medium-chain family member 2A', 'EC 6.2.1.2', 'MGC150530', 'ACSM2', 'Butyryl-coenzyme A synthetase 2A', 'Middle-chain acyl-CoA synthetase 2A', 'EC 6.2.1.25']"
ACSM2B,"['Xenobiotic/medium-chain fatty acid-CoA ligase HXM-A', 'HXMA', 'HYST1046', 'ACSM2', 'Acyl-CoA synthetase medium-chain family member 2B', 'EC 6.2.1.25']"
ACSM3,"['Acyl-CoA synthetase medium-chain family member 3', 'SA (rat hypertension-associated) homolog', 'Middle-chain acyl-CoA synthetase 3', 'EC 6.2.1.17']"
ACSM4,"['similar to olfactory specific medium-chain acyl CoA synthetase', 'Acyl-CoA synthetase medium-chain family member 4', 'EC 6.2.1.2']"
ACSM5,"['Acyl-CoA synthetase medium-chain family member 5', 'FLJ20581', 'MACS3', 'EC 6.2.1.2']"
ACSM6,"['Acyl-CoA synthetase medium-chain family member 6', 'bA310E22.3', 'chromosome 10 open reading frame 129', 'C10orf129', 'AMP-binding enzyme', 'EC 6.2.1.2']"
ACSS1,"['Acetyl-coenzyme A synthetase 2-like, mitochondrial', 'dJ568C11.3', 'Acetate--CoA ligase 2', 'MGC33843', 'AceCS2L', 'EC 6.2.1', 'Acyl-CoA synthetase short-chain family member 1', 'Acetyl-CoA synthetase 2', 'KIAA1846', 'EC 6.2.1.17']"
ACSS2,"['Acyl-CoA synthetase short-chain family member 2', 'AceCS1', 'Acetate--CoA ligase', 'dJ1161H23.1', 'Acetyl-CoA synthetase 1', 'Acetyl-coenzyme A synthetase, cytoplasmic', 'cytoplasmic acetyl-coenzyme A synthetase', 'acetyl-Coenzyme A synthetase 2 (ADP forming)', 'EC 6.2.1.17']"
ACSS3,"['Acyl-CoA synthetase short-chain family member 3, mitochondrial', 'FLJ21963', 'AMP-binding enzyme, 33217', 'Acyl-CoA synthetase short-chain family member 3', 'Propionate--CoA ligase', 'EC 6.2.1.17']"
ACTA1,"['actin alpha 1, skeletal muscle', 'NEM1', 'nemaline myopathy type 3', 'CFTD1', 'ASMA', 'Alpha-actin-1']"
ACTA2,"['actin, alpha 2, smooth muscle, aorta', 'ACTSA', 'alpha-cardiac actin', 'Cell growth-inhibiting gene 46 protein']"
ACTB,"['Actin, cytoplasmic 1', 'Beta-actin', 'BRWS1', 'PS1TP5-binding protein 1', 'beta cytoskeletal actin']"
ACTBL2,"['Beta-actin-like protein 2', 'DKFZp686D0972', 'Kappa-actin']"
ACTC1,"['Actin, alpha cardiac muscle 1', 'CMD1R', 'ACTC', 'ASD5', 'LVNC4']"
ACTG1,"['cytoskeletal gamma-actin', 'deafness, autosomal dominant 20', 'Gamma-actin', 'actin gamma 1', 'DFNA20', 'HEL-176', 'deafness, autosomal dominant 26']"
ACTG2,"['actin, gamma 2, smooth muscle, enteric', 'ACTA3', 'Alpha-actin-3', 'MMIHS5', 'VSCM1', 'Smooth muscle gamma-actin']"
ACTL10,"['Actin-like protein 10', 'chromosome 20 open reading frame 134', 'C20orf134', 'dJ63M2.2']"
ACTL6A,"['Actin-related protein Baf53a', 'actin like 6A', 'BAF53A', 'hArpN beta', 'INO80 complex subunit K', 'SMARCN1', 'BAF complex 53 kDa subunit', '53 kDa BRG1-associated factor A']"
ACTL6B,"['Actin-related protein Baf53b', 'BAF53B', 'SMARCN2', 'actin like 6B', 'EIEE76', 'IDDSSAD', 'hArpN alpha', '53 kDa BRG1-associated factor B']"
ACTL7A,"['Actin-like protein 7A', 'testicular secretory protein Li 3']"
ACTL7B,"['Actin-like protein 7B', 'Tact1', 'testis tissue sperm-binding protein Li 43a']"
ACTL8,"['Cancer/testis antigen 57', 'CT57', 'Actin-like protein 8']"
ACTL9,"['testicular tissue protein Li 9', 'MGC33407', 'HSD21', 'SPGF53', 'testicular tissue protein Li 15', 'actin like 9']"
ACTN1,"['Alpha-actinin cytoskeletal isoform', 'BDPLT15', 'epididymis secretory sperm binding protein']"
ACTN2,"['Alpha-actinin skeletal muscle isoform 2', 'CMD1AA', 'CMH23', 'MPD6', 'MYOCOZ', 'F-actin cross-linking protein']"
ACTN3,"['Alpha-actinin skeletal muscle isoform 3', 'actinin, alpha 3', 'actinin alpha 3 (gene/pseudogene)']"
ACTN4,"['Non-muscle alpha-actinin 4', 'focal segmental glomerulosclerosis 1', 'FSGS1']"
ACTR10,"['actin-related protein 10 homolog (S. cerevisiae)', 'ACTR11']"
ACTR1A,"['ARP1 (actin-related protein 1, yeast) homolog A (centractin alpha)', 'Actin-RPV', 'ARP1 actin-related protein 1 homolog A, centractin alpha', 'Centractin', 'actin related protein 1A', 'Centrosome-associated actin homolog', 'epididymis secretory sperm binding protein']"
ACTR1B,"['ARP1 (actin-related protein 1, yeast) homolog B (centractin beta)', 'ARP1B', 'ARP1 actin-related protein 1 homolog B, centractin beta', 'CTRN2', 'PC3', 'Actin-related protein 1B']"
ACTR2,"['ARP2 (actin-related protein 2, yeast) homolog', 'ARP2']"
ACTR3,"['ARP3 (actin-related protein 3, yeast) homolog', 'ARP3']"
ACTR3B,"['ARP3 actin-related protein 3 homolog B (yeast)', 'ARP3-beta', 'actin-related protein 3-beta']"
ACTR3C,"['ARP3 actin-related protein 3 homolog C (yeast)', 'actin-related Arp11']"
ACTR5,"['ARP5 (actin-related protein 5, yeast) homolog', 'FLJ12785', 'hARP5', 'INO80 complex subunit M', 'Sarcoma antigen NY-SAR-16']"
ACTR6,"['ARP6 actin-related protein 6 homolog (yeast)', 'hARP6', 'FLJ13433', 'CDA12', 'HSPC281']"
ACTR8,"['ARP8 (actin-related protein 8, yeast) homolog', 'INO80 complex subunit N', 'hArp8']"
ACTRT1,"['Actin-related protein T1', 'ARP-T1', 'KIAA0705', 'HSD27']"
ACTRT2,"['actin-related protein hArpM2', 'ARP-T2', 'FLJ25424']"
ACTRT3,"['Actin-related protein M1', 'ARP-T3']"
ACVR1,"['Serine/threonine-protein kinase receptor R1', 'TSR-I', 'ACVRLK2', 'ACTR-I', 'activin A receptor, type II-like kinase 2', 'Activin receptor type I', 'EC 2.7.11.30']"
ACVR1B,"['Serine/threonine-protein kinase receptor R2', 'ACVRLK4', 'SKR2', 'ACTR-IB', 'activin A receptor, type IB', 'EC 2.7.11.30']"
ACVR1C,"['Activin receptor-like kinase 7', 'ACVRLK7', 'ACTR-IC', 'activin A receptor, type IC', 'EC 2.7.11.30']"
ACVR2A,"['activin A receptor, type IIA', 'ACTR-IIA', 'Activin receptor type IIA', 'EC 2.7.11.30']"
ACVR2B,"['activin A receptor, type IIB', 'Activin receptor type IIB', 'HTX4', 'EC 2.7.11.30']"
ACVRL1,"['Serine/threonine-protein kinase receptor R3', 'HHT2', 'ACVRLK1', 'ORW2', 'TSR-I', 'activin A receptor, type II-like kinase 1', 'EC 2.7.11.30']"
ACY1,"['N-acyl-L-amino-acid amidohydrolase', 'Aminoacylase-1', 'EC 3.5.1.14', 'epididymis secretory protein Li 5']"
ACY3,"['N-acyl-aromatic-L-amino acid amidohydrolase', 'HCBP1', 'MGC9740', 'Aminoacylase-3', 'N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming)', 'Hepatitis C virus core-binding protein 1', 'aspartoacylase (aminoacylase) 3', 'Aspartoacylase-2', 'EC 3.5.1.114']"
ACYP1,"['acylphosphatase 1, erythrocyte (common) type', 'Acylphosphatase-1', 'EC 3.6.1.7']"
ACYP2,"['Acylphosphatase, muscle type isozyme', 'ACYM', 'testicular tissue protein Li 11', 'EC 3.6.1.7']"
ADA,"['Adenosine aminohydrolase', 'ADA1', 'EC 3.5.4.4']"
ADA2,"['adenosine deaminase CECR1', 'IDGFL', 'cat eye syndrome chromosome region, candidate 1', 'CECR1', 'SNEDS', 'VAIHS', 'EC 3.5.4.4']"
ADAD1,"['adenosine deaminase domain containing 1 (testis-specific)', 'TENR']"
ADAD2,"['Adenosine deaminase domain-containing protein 2', 'TENRL', 'FLJ00337']"
ADAL,"['Adenosine deaminase-like protein isoform 1', 'N6-mAMP deaminase', 'Adenosine deaminase-like protein', 'N6-methyl-AMP aminohydrolase', 'HsMAPDA', 'EC 3.5.4.-']"
ADAM10,"['Disintegrin and metalloproteinase domain-containing protein 10', 'KUZ', 'ADAM 10', 'HsT18717', 'CD156c antigen', 'RAK', 'a disintegrin and metalloproteinase domain 10', 'EC 3.4.24.81']"
ADAM11,"['Disintegrin and metalloproteinase domain-containing protein 11', 'Metalloproteinase-like, disintegrin-like, and cysteine-rich protein', 'ADAM 11']"
ADAM12,"['Disintegrin and metalloproteinase domain-containing protein 12', 'Meltrin-alpha', 'ADAM12-OT1', 'CAR10', 'MCMPMltna', 'EC 3.4.24.58']"
ADAM15,"['Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 15', 'ADAM 15', 'Metargidin', 'EC 3.4.24.-']"
ADAM17,"['Disintegrin and metalloproteinase domain-containing protein 17', 'CSVP', 'CD156b antigen', 'a disintegrin and metalloproteinase 17', 'tumor necrosis factor, alpha, converting enzyme', 'ADAM 17', 'NISBD1', 'EC 3.4.24.86']"
ADAM18,"['Disintegrin and metalloproteinase domain-containing protein 18', 'tMDC III', 'ADAM 18', 'Transmembrane metalloproteinase-like, disintegrin-like, and cysteine-rich protein III']"
ADAM19,"['Disintegrin and metalloproteinase domain-containing protein 19', 'Meltrin-beta', 'metalloprotease-disintegrin meltrin beta', 'FKSG34', 'ADAM 19', 'EC 3.4.24.-']"
ADAM2,"['Disintegrin and metalloproteinase domain-containing protein 2', 'PH30-beta', 'CRYN1', 'ADAM metallopeptidase domain 2', 'Fertilin subunit beta', 'fertilin beta', 'ADAM 2', 'EC 3.4.24']"
ADAM20,"['Disintegrin and metalloproteinase domain-containing protein 20', 'ADAM 20', 'EC 3.4.24.58']"
ADAM21,"['Disintegrin and metalloproteinase domain-containing protein 21', 'ADAM 21', 'EC 3.4.24.-']"
ADAM22,"['Disintegrin and metalloproteinase domain-containing protein 22', 'MDC2', 'Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 2', 'ADAM 22', 'EIEE61']"
ADAM23,"['Disintegrin and metalloproteinase domain-containing protein 23', 'MDC-3', 'Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 3', 'ADAM 23']"
ADAM28,"['Disintegrin and metalloproteinase domain-containing protein 28', 'eMDC II', 'ADAM 28', 'epididymial metalloproteinase-like, disintegrin-like, and cysteine-rich protein II', 'EC 3.4.24.-']"
ADAM29,"['Disintegrin and metalloproteinase domain-containing protein 29', 'svph1', 'CT73', 'a disintegrin and metalloproteinase domain 29', 'ADAM 29', 'EC 3.4.24.58']"
ADAM30,"['Disintegrin and metalloproteinase domain-containing protein 30', 'svph4', 'ADAM 30', 'EC 3.4.24.-']"
ADAM32,"['Disintegrin and metalloproteinase domain-containing protein 32', 'ADAM 32']"
ADAM33,"['Disintegrin and metalloproteinase domain-containing protein 33', 'DKFZp434K0521', 'DJ964F7.1', 'chromosome 20 open reading frame 153', 'C20orf153', 'ADAM 33', 'EC 3.4.24.-']"
ADAM7,"['Disintegrin and metalloproteinase domain-containing protein 7', 'GP-83', 'EAPI', 'ADAM 7']"
ADAM8,"['Disintegrin and metalloproteinase domain-containing protein 8', 'CD156a antigen', 'MS2', 'human leukocyte differentiation antigen', 'ADAM 8', 'EC 3.4.24.-']"
ADAM9,"['Disintegrin and metalloproteinase domain-containing protein 9', 'CORD9', 'KIAA0021', 'MCMP', 'Meltrin-gamma', 'ADAM metallopeptidase domain 9 (meltrin gamma)', 'cone rod dystrophy 9', 'ADAM 9', 'EC 3.4.24.-']"
ADAMDEC1,"['A disintegrin and metalloproteinase domain-like protein decysin-1', 'M12.219', 'ADAM-like protein decysin-1', 'EC 3.4.24.-']"
ADAMTS1,"['a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1', 'EC 3.4.24.-', 'ADAM-TS 1', 'KIAA1346', 'EC 3.4.24.14']"
ADAMTS10,"['a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 10', 'ADAM-TS 10', 'WMS1', 'ADAM metallopeptidase with thrombospondin type 1 motif 10', 'EC 3.4.24.82']"
ADAMTS12,"['a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 12', 'PRO4389', 'ADAM-TS 12', 'EC 3.4.24.82']"
ADAMTS13,"['a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 13', 'vWF-CP', 'vWF-cleaving protease', 'FLJ42993', 'MGC118899', 'DKFZp434C2322', 'ADAM-TS 13', 'C9orf8', 'von Willebrand factor-cleaving protease', 'EC 3.4.24.14']"
ADAMTS14,"['a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 14', 'ADAM-TS 14', 'EC 3.4.24.14']"
ADAMTS15,"['a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 15, preproprotein', 'ADAM-TS 15', 'EC 3.4.24.14']"
ADAMTS16,"['a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 16', 'ADAM-TS 16', 'KIAA2029', 'EC 3.4.24.-']"
ADAMTS17,"['a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 17', 'FLJ16363', 'WMS4', 'ADAM-TS 17', 'EC 3.4.24.80']"
ADAMTS18,"['a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 18', 'ADAM-TS 18', 'KNO2', 'MMCAT', 'EC 3.4.24.82']"
ADAMTS19,"['a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 19', 'ADAM-TS 19', 'EC 3.4.24.-']"
ADAMTS2,"['a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 2', 'ADAM-TS 2', 'PC I-NP', 'PCI-NP', 'Procollagen I/II amino propeptide-processing enzyme', 'EDSDERMS', 'Procollagen I N-proteinase', 'EC 3.4.24.14']"
ADAMTS20,"['a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 20', 'GON-1', 'ADAM-TS 20', 'EC 3.4.24.14']"
ADAMTS3,"['a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 3', 'KIAA0366', 'ADAM-TS 3', 'HKLLS3', 'Procollagen II N-proteinase', 'Procollagen II amino propeptide-processing enzyme', 'ADAM metallopeptidase with thrombospondin type 1 motif 3', 'EC 3.4.24.14']"
ADAMTS4,"['a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 4', 'KIAA0688', 'ADAM-TS 4', 'Aggrecanase-1', 'A disintegrin and metalloproteinase with thrombospondin motifs 4', 'EC 3.4.24.82']"
ADAMTS5,"['a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)', 'ADAM-TS 11', 'Aggrecanase-2', 'ADAM-TS 5', 'EC 3.4.24.14']"
ADAMTS6,"['a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 6', 'ADAM-TS 6', 'EC 3.4.24.82']"
ADAMTS7,"['a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 7', 'ADAM-TS 7', 'DKFZp434H204', 'COMPase', 'EC 3.4.24.82']"
ADAMTS8,"['a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 8', 'METH-2', 'FLJ41712', 'ADAM-TS 8', 'ADAMTS-8', 'EC 3.4.24.14']"
ADAMTS9,"['a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 9', 'KIAA1312', 'ADAM-TS 9', 'EC 3.4.24.14']"
ADAMTSL1,"['ADAM-TS related protein 1', 'FLJ35283', 'Punctin-1', 'chromosome 9 open reading frame 94', 'C9orf94']"
ADAMTSL2,"['ADAMTS-like protein 2', 'KIAA0605', 'GPHYSD1']"
ADAMTSL3,"['ADAMTS-like protein 3', 'KIAA1233', 'Punctin-2', 'a disintegrin-like and metalloprotease domain with thrombospondin type I motifs-like 3']"
ADAMTSL4,"['ADAMTS-like protein 4', 'DKFZP434K1772', 'Thrombospondin repeat-containing protein 1', 'ECTOL2', 'TSRC1']"
ADAMTSL5,"['ADAMTS-like protein 5', 'Thrombospondin type-1 domain-containing protein 6', 'THSD6']"
ADAP1,"['Arf-GAP with dual PH domain-containing protein 1', 'GCS1L', 'ArfGAP with dual PH domains 1', 'centaurin, alpha 1', 'p42IP4']"
ADAP2,"['Arf-GAP with dual PH domain-containing protein 2', 'ArfGAP with dual PH domains 2', 'centaurin, alpha 2', 'HSA272195', 'centaurin-alpha 2 protein']"
ADAR,"['Double-stranded RNA-specific adenosine deaminase', 'ADAR1', '136 kDa double-stranded RNA-binding protein', 'AGS6', 'DSRAD', 'K88DSRBP', 'G1P1', 'IFI-4', 'EC 3.5.4.37']"
ADARB1,"['adenosine deaminase, RNA-specific, B1 (homolog of rat RED1)', 'ADAR2a-L1', 'ADAR2a-L2', 'hRED1', 'NEDHYMS', 'Double-stranded RNA-specific editase 1', 'EC 3.5.4.37']"
ADARB2,"['adenosine deaminase, RNA-specific, B2 (RED1 homolog rat)', 'RED2 homolog', 'ADAR3', 'homolog of rat BLUE', 'Double-stranded RNA-specific editase B2', 'EC 3.5.-.-']"
ADAT1,"['tRNA-specific adenosine-37 deaminase', 'HADAT1', 'EC 3.5.4.34']"
ADAT2,"['adenosine deaminase, tRNA-specific 2, TAD2 homolog (S. cerevisiae)', 'dJ20N2.1', 'TAD2', 'adenosine deaminase, tRNA-specific 2, TAD2 homolog', 'DEADC1', 'EC 3.5.4.33']"
ADAT3,"['Probable inactive tRNA-specific adenosine deaminase-like protein 3', 'MRT36', 'FWP005', 'MSTP121', 'NEDBGF', 'S863-5']"
ADCK1,"['AarF domain-containing protein kinase 1', 'FLJ39600', 'EC 2.7.-.-']"
ADCK2,"['Uncharacterized aarF domain-containing protein kinase 2', 'MGC20727', 'AARF', 'EC 2.7.11.-']"
ADCK5,"['Uncharacterized aarF domain-containing protein kinase 5', 'FLJ35454', 'EC 2.7.11.-']"
ADCY1,"['Ca(2+)/calmodulin-activated adenylyl cyclase', 'AC1', 'adenylate cyclase 1 (brain)', 'deafness, autosomal recessive 44', 'DFNB44', 'EC 4.6.1.1']"
ADCY10,"['testicular soluble adenylyl cyclase (SAC)', 'SACI', 'HCA2', 'RP1-313L4.2', 'Hypercalciuria, absorptive, 2', 'HEL-S-7a', ""3',5'-cyclic AMP synthetase"", 'epididymis secretory sperm binding protein Li 7a', 'Adenylate cyclase homolog', 'EC 4.6.1.1']"
ADCY2,"['adenylate cyclase 2 (brain)', 'HBAC2', 'KIAA1060', ""3',5'-cyclic AMP synthetase"", 'EC 4.6.1.1']"
