genes,aliases
ABCC9,"['ATP-binding cassette, sub-family C (CFTR/MRP), member 9', 'SUR2', 'CMD1O', 'Sulfonylurea receptor 2', 'ABC37', 'ATFB12', 'EC 3.6.3.44']"
ABCD1,"['ATP-binding cassette, sub-family D (ALD), member 1', 'AMN', 'ALDP', 'Adrenoleukodystrophy protein', 'ABC42', 'EC 3.1.2.-']"
ABCD2,"['ATP-binding cassette, sub-family D (ALD), member 2', 'ALDL1', 'ABC39', 'Adrenoleukodystrophy-related protein', 'EC 3.1.2.-']"
ABCD3,"['dJ824O18.1 (ATP-binding cassette, sub-family D (ALD), member 3 (PMP70, PXMP1))', 'PMP70', 'ZWS2', 'peroxisomal membrane protein 1 (70kD, Zellweger syndrome)', 'ABC43', 'CBAS5', 'EC 3.1.2.-']"
ABCD4,"['ATP-binding cassette, sub-family D (ALD), member 4', 'PXMP1-L', 'P70R', 'EST352188', 'ABC41', 'MAHCJ', 'PMP69', 'Lysosomal cobalamin transporter ABCD4', 'Peroxisomal membrane protein 1-like', 'EC 7.6.2.8']"
ABCE1,"['ATP-binding cassette, sub-family E (OABP), member 1', 'RNASELI', 'ABC38', 'RNASEL1', 'Ribonuclease 4 inhibitor', 'RNase L inhibitor 1', ""ribonuclease L (2',5'-oligoisoadenylate synthetase-dependent) inhibitor"", 'HuHP68']"
ABCF1,"['ATP-binding cassette, sub-family F (GCN20), member 1', 'EST123147', 'ABC27', 'ATP-binding cassette 50 (TNF-alpha stimulated)', 'TNFalpha-inducible ATP-binding protein', 'EC 3.6.3.17']"
ABCF2,"['ATP-binding cassette, sub-family F (GCN20), member 2', 'EST133090', 'M-ABC1', 'HUSSY-18', 'Iron-inhibited ABC transporter 2', 'EC 3.6.3.17']"
ABCF2-H2BK1,"['ABCF2-H2BE1 readthrough', 'ATP-binding cassette, sub-family F (GCN20), member 2']"
ABCF3,"['ATP-binding cassette, sub-family F (GCN20), member 3', 'EST201864', 'EC 3.6.3.17']"
ABCG1,"['white protein homolog (ATP-binding cassette transporter 8)', 'ABC8', 'WHITE1', 'homolog of Drosophila white', 'EC 7.6.2.-']"
ABCG2,"['multi drug resistance efflux transport ATP-binding cassette sub-family G (WHITE) member 2', 'EST157481', 'MXR-1', 'ABC transporter', 'CD338 antigen', 'ABC15', 'BCRP1', 'UAQTL1', 'Placenta-specific ATP-binding cassette transporter', 'Broad substrate specificity ATP-binding cassette transporter ABCG2', 'ATP-binding cassette transporter G2', 'EC 7.6.2.2']"
ABCG4,"['ATP-binding cassette, sub-family G (WHITE), member 4', 'WHITE2', 'putative ABC transporter', 'EC 7.6.2.-']"
ABCG5,"['ATP-binding cassette, sub-family G (WHITE), member 5', 'Sterolin-1', 'STSL2', 'EC 7.6.2.-']"
ABCG8,"['ATP-binding cassette, sub-family G (WHITE), member 8 (sterolin 2)', 'GBD4', 'gallbladder disease 4', 'Sterolin-2', 'STSL1', 'EC 7.6.2.-']"
ABHD1,"['Alpha/beta hydrolase domain-containing protein 1', 'Protein ABHD1', 'FLJ36128', 'EC 3.1.1.-']"
ABHD10,"['alpha/beta hydrolase domain-containing protein 10, mitochondrial', 'FLJ11342', 'Mycophenolic acid acyl-glucuronide esterase, mitochondrial', 'EC 3.1.1.93']"
ABHD11,"['Williams-Beuren syndrome chromosomal region 21 protein', 'PP1226', 'WBSCR21', 'Protein ABHD11', 'EC 3.-.-.-']"
ABHD12,"['abhydrolase domain containing 12, lysophospholipase', 'DKFZP434P106', 'dJ965G21.2', 'BEM46L2', 'ABHD12A', 'Abhydrolase domain-containing protein 12', 'C20orf22', 'PHARC', 'Oxidized phosphatidylserine lipase ABHD12', 'EC 3.1.1.23']"
ABHD12B,"['Alpha/beta hydrolase domain-containing protein 12B', 'BEM46L3', 'C14orf29', 'c14_5314', 'abhydrolase domain containing 12B', 'EC 3.-.-.-']"
ABHD13,"['Alpha/beta hydrolase domain-containing protein 13', 'bA153I24.2', 'FLJ14906', 'BEM46L1', 'C13orf6', 'Protein ABHD13', 'EC 3.-.-.-']"
ABHD14A,"['Alpha/beta hydrolase domain-containing protein 14A', 'DKFZP564O243', 'DORZ1', 'abhydrolase domain containing 14A', 'EC 3.-.-.-']"
ABHD14A-ACY1,"['ABHD14A-ACY1 readthrough (non-protein coding)', 'ABHD14A-ACY1 readthrough (NMD candidate)', 'EC 3.5.1.14']"
ABHD14B,"['Alpha/beta hydrolase domain-containing protein 14B', 'MGC15429', 'HEL-S-299', 'abhydrolase domain containing 14B', 'cell cycle gene 1-interacting factor B', 'epididymis secretory sperm binding protein', 'EC 3.1.11.6']"
ABHD15,"['Alpha/beta hydrolase domain-containing protein 15', 'Protein ABHD15']"
ABHD16A,"['Alpha/beta hydrolase domain-containing protein 16A', 'NG26', 'D6S82E', 'hBAT5', 'PP199', 'Phosphatidylserine lipase ABHD16A', 'protein ABHD16A', 'G5', 'EC 3.1.1.23']"
ABHD16B,"['Alpha/beta hydrolase domain-containing protein 16B', 'dJ591C20.1', 'abhydrolase domain containing 16B', 'EC 3.-.-.-']"
ABHD17A,"['Alpha/beta hydrolase domain-containing protein 17A', 'MGC5244', 'family with sequence similarity 108, member A1', 'C19orf27', 'FAM108A1', 'abhydrolase domain containing 17A', 'EC 3.1.2.22']"
ABHD17B,"['Alpha/beta hydrolase domain-containing protein 17B', 'CGI-67', 'family with sequence similarity 108, member B1', 'C9orf77', 'FAM108B1', 'abhydrolase domain containing 17B', 'EC 3.1.2.22']"
ABHD17C,"['Alpha/beta hydrolase domain-containing protein 17C', 'family with sequence similarity 108, member C1', 'FAM108C1', 'abhydrolase domain containing 17C', 'EC 3.1.2.22']"
ABHD18,"['Alpha/beta hydrolase domain-containing protein 18', 'FLJ21106', 'C4orf29', 'Protein ABHD18']"
ABHD2,"['abhydrolase domain containing 2, acylglycerol lipase', 'LABH2', 'Protein PHPS1-2', 'Monoacylglycerol lipase ABHD2', 'alpha/beta hydrolase domain containing protein 2', 'Progesterone-sensitive lipase', ""EC 3.1.1');""]"
ABHD3,"['alpha/beta hydrolase domain containing protein 3', 'Phospholipase ABHD3', 'lung alpha/beta hydrolase 3', 'EC 3.1.1.32']"
ABHD4,"['abhydrolase domain containing 4, N-acyl phospholipase B', 'FLJ12816', 'protein ABHD4', 'Alpha/beta hydrolase domain-containing protein 4', 'EC 3.1.1.-']"
ABHD5,"['abhydrolase domain containing 5, lysophosphatidic acid acyltransferase', 'CGI-58', 'IECN2', 'truncated abhydrolase domain-containing protein 5', 'EC 2.3.1.51']"
ABHD6,"['abhydrolase domain containing 6, acylglycerol lipase', 'Abhydrolase domain-containing protein 6', 'EC 3.1.1.23']"
ABHD8,"['Alpha/beta hydrolase domain-containing protein 8', 'FLJ11743', 'MGC14280', 'Protein ABHD8', 'EC 3.-.-.-']"
ABI1,"['Abl-interactor protein 1 long', 'SSH3BP1', 'Abl interactor 1', 'Spectrin SH3 domain-binding protein 1', 'Abl-binding protein 4', 'Nap1-binding protein']"
ABI2,"['abl-interacting protein 1 (SH3-containing protein)', 'Abl interactor 2', 'ArgBP1', 'ARGBPIA', 'Abl-binding protein 3', 'Arg-binding protein 1', 'SSH3BP2']"
ABI3,"['ABI gene family member 3', 'SSH3BP3', 'New molecule including SH3']"
ABI3BP,"['ABI gene family, member 3 (NESH) binding protein', 'Nesh-binding protein', 'DKFZP586L2024', 'Target of Nesh-SH3']"
ABITRAM,"['Actin-binding transcription modulator', 'CG-8', 'FLJ20457', 'Protein Simiate', 'chromosome 9 open reading frame 6', 'family with sequence similarity 206, member A', 'C9orf6', 'protein FAM206A', 'Protein Abitram']"
ABL1,"['truncated ABL protooncogene 1 nonreceptor tyrosine kinase', 'JTK7', 'BCR-ABL', 'p150', 'v-abl Abelson murine leukemia viral oncogene homolog 1', 'bcr/c-abl oncogene protein', 'CHDSKM', 'EC 2.7.10.2']"
ABL2,"['v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)', 'v-abl Abelson murine leukemia viral oncogene homolog 2', 'ABLL', 'ABL proto-oncogene 2, non-receptor tyrosine kinase', 'EC 2.7.10.2']"
ABLIM1,"['Actin-binding LIM protein family member 1', 'LIMATIN', 'Actin-binding LIM protein 1', 'KIAA0059']"
ABLIM2,"['actin binding LIM protein family, member 2', 'KIAA1808', 'Actin-binding LIM protein 2']"
ABLIM3,"['actin binding LIM protein family, member 3', 'KIAA0843', 'HMFN1661', 'Actin-binding LIM protein 3']"
ABO,"['ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)', 'A3GALNT', 'NAGAT', 'Glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase', 'Fucosylglycoprotein 3-alpha-galactosyltransferase', 'Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase', 'Histo-blood group ABO system transferase', 'EC 2.4.1.37']"
ABR,"['Active breakpoint cluster region-related protein', 'MDB']"
ABRA,['Striated muscle activator of Rho-dependent signaling']
ABRACL,"['Costars family protein ABRACL', 'HSPC280', 'chromosome 6 open reading frame 115', 'C6orf115']"
