"","GSM468603.CEL","GSM468604.CEL","GSM468605.CEL","GSM468606.CEL","GSM468607.CEL","GSM468608.CEL","GSM468609.CEL","GSM468610.CEL","GSM468611.CEL","GSM468612.CEL","GSM468613.CEL","GSM468614.CEL","GSM468615.CEL","GSM468616.CEL","GSM468617.CEL","GSM468618.CEL","GSM468619.CEL","GSM468620.CEL","GSM468621.CEL","GSM468622.CEL","GSM468623.CEL"
"ZNF587B",6.30081114502675,5.69107677494761,6.08553402686342,6.25516558807852,5.57955969383355,6.03533653309101,6.11791565611502,5.56909170170948,5.88941001574846,5.54324784980593,6.29951348142094,5.95328621686516,6.06997697383563,5.33530539626639,6.00976027428995,5.47372670901017,6.2533300410258,6.05059928888653,5.73719073554084,5.51011744176674,5.67216493007988
"CDH5",12.3425817668108,12.4178153400928,12.1146339308761,12.3722524162144,11.8621122185407,12.2218258480405,12.2312224953759,12.385596819696,12.1097981173286,11.7426676965764,12.244515407371,12.2452962442442,12.2452962442442,12.2240212576758,11.872869760685,11.4529166083716,12.3579384545481,12.0966395587572,12.3817166312529,12.4346766243644,12.3645685690212
"PET117",7.47750024198931,7.53505266690033,6.8893389336582,7.47135474716531,6.29125261445529,7.50724026152936,7.45103807407304,7.14554703118938,6.42511129097633,6.42733059582068,7.40866863426203,7.7421433098767,7.36070072278083,7.5996296883941,6.6259110564103,6.14904225481766,7.48292891102992,7.76189482028895,6.98594941520367,7.1792051556676,7.22099280095128
"CHAF1A",6.88459569508211,5.94373448476871,7.05095802572305,6.71658334638478,6.1693742114235,5.94768604007871,6.82263245480353,5.83838709282838,7.06148964914335,6.30133861797617,6.70710661777584,6.01264956756709,6.62607204306937,5.50580924440546,6.75483699790817,5.7310619614811,6.5644851275098,5.39499985416398,6.77020907386562,6.84948460628184,6.44755190180115
"PARP2",8.26809547709425,7.60174979082506,8.41908570308405,8.01718921759931,7.7920408635054,7.76979865594699,8.10304772182004,7.67142785090486,8.11542622280119,7.70250117684791,7.7484672326644,7.58330731051625,8.27851461134315,7.68560036311887,8.52340535599526,7.83051037378928,8.25793506323982,7.78172771567587,7.77855344689458,7.81117775359302,7.64085636828184
"ZBED6",5.4055032307526,6.11475898996888,5.44458068222596,5.4559380181056,6.11637480684971,6.73437431013831,5.73467883306215,6.70364484503463,5.41312744075434,6.6690650952962,5.9021851057969,6.70607728346643,5.45909109916384,6.54528409180832,5.7233277511815,6.65601532369276,5.10254767632315,7.06477674432747,8.04023466395799,6.76717814849157,7.53176725329821
"PARP3",5.91945712099497,6.03539421365086,6.01199335335809,6.11950254582391,6.08081416187425,5.97872740545766,5.75472650235474,6.01485012007459,5.72472937835752,6.19933877644348,6.02416731457771,6.17914125341229,5.64800902063707,5.67110769244194,5.9334106154775,5.92963278711052,5.96760064454032,6.01199335335809,5.98908175996193,6.16038003406162,5.92168464416837
"TOM1L1",3.24036718256793,3.36986760286724,3.34375501784006,3.10456377243411,3.13901096362687,2.98594419957451,3.03739614716405,3.20236271613747,3.15373759191863,2.94144761063121,3.09073097882875,3.12042511511006,2.95687204098284,3.15373759191863,3.26454670346101,3.04334693482627,3.17097979912987,2.87422639118037,3.62500079655396,3.383144390723,3.37148238787264
"HMGXB4",8.25811236229144,8.6487166317187,7.91681308367662,7.94551807841657,8.21082512434452,8.60784916494312,8.33837018689792,8.86899440426649,7.96711040511121,8.46415512569742,8.08694548407422,8.65201101285322,8.12432054160761,8.56736879033561,7.99705552869521,8.36597464281078,8.1071305389886,8.54756338363027,7.88764445215384,8.22487755325907,7.89962083571553
"TOM1",6.5898287387044,6.88959666338815,6.12628881943031,6.06666233139212,6.47035040519148,6.21274147229164,6.51490712464418,6.81332132073252,6.11725378263472,6.50328206013885,6.20112052771962,6.08459216576104,6.6349419266596,7.02185876642234,6.59789034669903,6.66626972350785,6.22173101283617,6.15816115286278,6.59343086734556,6.55914233572628,6.84598831474559
"SH2D3C",8.40033552489246,8.46245824025327,9.00980528559382,8.2847081548475,9.25236019625932,8.21844184882126,8.03054602815241,8.30167453648833,8.76976529097471,9.02500111470843,8.04905573965068,8.24053115992516,8.18953424733523,8.14669542004491,8.65680501342319,8.58727470977174,8.24844310298029,7.82627679803365,8.69425904561448,8.810683712619,8.43530499566878
"SH2D3A",4.90079296090751,5.00214523628609,4.95912600442745,4.75674756128372,4.98997691013225,5.05370953792343,5.28424750414867,4.90935758859512,4.90344381865333,4.67235550610078,4.78420472641455,4.85418942818925,5.14983778545142,4.86023796343051,4.90079296090751,4.66205758360278,4.90079296090751,4.79620093582186,4.93636995996152,4.86095042316558,4.84937802069733
"MAMLD1",5.70561614162803,5.61858544445175,5.35262448252065,6.16977431857523,5.51279930151547,6.21617079807724,5.47632875709827,5.79690137505014,5.20572509699123,5.32432315007338,5.57211295855334,6.08900180018742,5.43406537330795,5.52837093547741,4.91194805194993,5.70561614162803,6.15521712836569,6.29641493286901,5.84473480037573,5.62335302397022,5.99824575900924
"RANBP9",8.53001975252788,8.76259663968625,8.13841511921639,8.5699698723453,7.95430532525522,8.456179696485,8.20675155884047,8.81737913592097,7.91195924569263,7.97795722893779,8.17613660756705,8.53520873972425,8.60091811403721,8.99014746804277,8.34318245658887,8.12575018489102,8.8094053887044,8.52757735846812,8.44599091158311,8.43852744314883,8.63804005006094
"DNAJB6",9.34309315741103,9.58784810714618,9.67590351370062,9.25003327575959,9.76574298901219,9.40215029394588,9.02123336962914,9.33623919181943,9.47548801529875,9.5371630861295,8.734313321403,9.16634711110024,8.86421461609732,9.15815246606881,9.11718260793869,9.20822932141638,8.55589043088565,8.60948535464908,9.43015336829165,9.15375932735802,8.96334469872422
"CDH7",2.80145094628731,2.69259933842156,2.4709875818817,2.60253308021865,2.71179900493516,2.59967789132976,2.81581995238266,2.84096126502088,2.59142574040702,2.58722435642402,2.67107313317832,2.66371209102714,2.66371209102714,2.65956905857485,2.58104956693066,2.6592323474674,2.72512206754303,2.67094008117998,2.57368852477948,2.54098659224178,2.6392058310549
