"","GSM926651_Boeckel_K2.CEL","GSM926652_Boeckel_K3.CEL","GSM926653_Boeckel_K4.CEL","GSM926654_Boeckel_S2.CEL","GSM926655_Boeckel_S3.CEL","GSM926656_Boeckel_S4.CEL","GSM926657_Boeckel_K2.CEL","GSM926658_Boeckel_K3.CEL","GSM926659_Boeckel_K4.CEL","GSM926660_Boeckel_S2.CEL","GSM926661_Boeckel_S3.CEL","GSM926662_Boeckel_S4.CEL"
"DUS3L",8.83011058498237,8.7921447068208,8.67710983059642,8.76131678294412,8.65138148486631,8.72050571012786,8.83011058498237,8.7921447068208,8.67710983059642,8.76131678294412,8.65138148486631,8.72050571012786
"CA10",5.6061182763395,5.69400427075708,5.52113049864042,5.66046599477848,5.60208424182608,5.69052277950283,5.6061182763395,5.69400427075708,5.52113049864042,5.66046599477848,5.60208424182608,5.69052277950283
"SMCO4",8.75104065245691,8.86526913605896,8.7334891522644,8.72352353524505,8.63416486537963,8.48369763608576,8.75104065245691,8.86526913605896,8.7334891522644,8.72352353524505,8.63416486537963,8.48369763608576
"CCDC177",5.79598711480428,5.76659563204219,5.70850368603483,5.78296875483659,5.49001262519218,5.97516303347924,5.79598711480428,5.76659563204219,5.70850368603483,5.78296875483659,5.49001262519218,5.97516303347924
"PMEPA1",10.0649089383774,10.2454104060237,10.2728724659574,10.1876025959938,10.2911311707153,10.3880705599615,10.0649089383774,10.2454104060237,10.2728724659574,10.1876025959938,10.2911311707153,10.3880705599615
"BMAL2",9.62558753437177,9.39147493767275,9.42476357099169,9.64744549977564,9.49740814734498,9.34458974192097,9.62558753437177,9.39147493767275,9.42476357099169,9.64744549977564,9.49740814734498,9.34458974192097
"PSMB6",11.9998714144403,12.1938878758958,12.0328688103353,12.1209338096826,12.2175651541623,11.7901137118859,11.9998714144403,12.1938878758958,12.0328688103353,12.1209338096826,12.2175651541623,11.7901137118859
"HMCES",9.55028137075173,9.60838401085043,9.48888068426289,9.69279618863611,9.67918202340278,9.61628250436062,9.55028137075173,9.60838401085043,9.48888068426289,9.69279618863611,9.67918202340278,9.61628250436062
"CMC2",12.0030456655574,11.6040815104277,12.0022764778327,12.464627327429,12.2809292035081,12.320434691607,12.0030456655574,11.6040815104277,12.0022764778327,12.464627327429,12.2809292035081,12.320434691607
"ENY2",10.544881375994,10.5537825270642,10.5282622121479,10.5046373241518,10.5709188905025,10.2058805092996,10.544881375994,10.5537825270642,10.5282622121479,10.5046373241518,10.5709188905025,10.2058805092996
