"","HUVEC_scr_siRNA_1.CEL","HUVEC_scr_siRNA_2.CEL","HUVEC_scr_siRNA_3.CEL","HUVEC_scr_siRNA_DLL4_1.CEL","HUVEC_scr_siRNA_DLL4_2.CEL","HUVEC_scr_siRNA_DLL4_3.CEL","HUVEC_USP10_siRNA_1.CEL","HUVEC_USP10_siRNA_2.CEL","HUVEC_USP10_siRNA_3.CEL","HUVEC_USP10_siRNA_DLL4_1.CEL","HUVEC_USP10_siRNA_DLL4_2.CEL","HUVEC_USP10_siRNA_DLL4_3.CEL"
"ETV3",6.90097867167299,6.88703777498388,6.93314593007747,6.76274720397428,6.88172157951298,6.91502658076915,6.86178373392758,6.8560254272362,7.16485637310504,6.90130020103755,6.68702214771966,6.9237056212013
"ETV4",7.97000116839027,8.08728700297399,8.05610702587074,7.79622607302883,7.97586406005177,7.70560608338397,7.95951780440667,7.87528520147017,7.78780137481336,7.63758805923701,7.76553129792815,7.67110219678698
"ETV5",6.5581181258676,6.43092342324679,6.54364282859087,6.49732302472795,6.59224088757056,6.49282280185156,6.56865469400404,6.60549649084698,6.70960295626142,6.72316409511745,6.57255599568728,6.55180631839048
"ALAS2",3.66233274411689,3.96117053832286,4.20619947346061,3.98229490568269,3.71598581364285,4.26249846557195,3.98526892991728,3.9631216080265,3.57921736889262,3.72862523640084,3.38608451960276,4.14804405838388
"ETV6",9.98352936170163,10.0185850128394,10.0181848857573,10.2274137858923,10.2570199530129,10.2801275406027,9.84181034933012,9.98200173798432,9.94663517265145,9.99704335843791,10.1646248992101,10.0256741708999
"EVC",7.24465596110391,7.14939513887458,7.3840064905699,7.35452233277897,7.32031085896832,7.27582608241653,7.14356864219671,7.07186985384446,7.35843286709062,7.35160539111209,7.16410439995204,7.19101600085503
"MECOM",8.02457049093964,8.00943383355562,8.10568114561559,8.60585799851641,8.59030053598363,8.66293278669614,8.0518350683674,8.29231043647023,8.29600902170445,8.52235559543686,8.4992904868337,8.46930798861234
"EVI2A",2.80165022034415,3.03085652119589,2.72964442388921,2.44919890220681,2.72040113188451,2.5133106159812,2.64468133587421,2.78219786256449,2.98036312755559,2.8078792809932,2.68630582790299,2.68648608686645
"EVI2B",5.56034572756242,5.45363019280518,5.33385657818072,4.61745624912841,4.7580611089081,4.6279928393329,5.97438811649446,6.14351391759021,5.60877718661592,5.53354578663198,5.63059965821229,5.79495153632703
"EVPL",6.11122324977782,6.29152104465764,6.41175152930253,5.94141621304535,6.18877775003961,6.18266289331487,6.11778088400226,6.05944910183937,6.21618540955511,6.06201891735317,6.16684954262072,6.18537742145144
"EVX1",4.83849883373817,4.87487199439046,4.86263998259776,4.79909019239474,4.55537691179868,4.83061477222692,5.06025054615472,4.81713379498743,5.0127312158767,5.0585963027499,5.01537121380635,4.76019439798793
"ALB",3.56377456575458,3.42491839969877,3.33403118395794,3.54711225741021,3.37436370878512,3.46542859115781,3.64372184746377,3.49953431503422,3.13674410936893,3.66713183994903,3.14977941955733,3.3406606913331
"EWSR1",8.35431200190398,8.14084117626548,8.34485332386529,8.20383520419985,8.10430651990328,8.18521493867348,8.29282825075639,8.24054166494922,8.25292985699921,8.19240687875536,8.23958046318372,8.20390781471604
"EXT1",10.716696560433,10.7474944030243,10.7766757344918,10.7028252744386,10.789817088853,10.8362285940244,10.8207509102529,10.6975539643438,10.8486373131336,10.8253321849077,10.6953642455241,10.8260179517261
"EXT2",8.84706249562811,8.92729017722719,8.80841599312526,9.16134691497699,9.14676857845861,9.06804442091771,8.78324446260705,9.04034762650041,8.85227951232572,8.94648065480219,9.10623806996498,8.98682045562915
"EXTL1",3.71724772123963,3.47874197305711,3.56490490770635,4.03058314263913,3.99009891351231,3.8514133932369,3.64033978635466,3.85803910204676,3.87169153470621,3.8416167025767,3.80887549049895,3.80065038918992
"EXTL2",6.84644359222456,6.70075365545763,6.7679172456602,6.66696545291038,6.57143015582353,6.38187437018824,6.83026204736702,6.80030874032354,6.78375748604633,6.40500363736317,6.58350771647123,6.61888379795872
"EYA1",3.82517872156403,3.75804394094527,3.64600671998522,4.16409974403229,3.91267831062384,3.90697664381049,3.76706344210675,3.74441541766574,3.57724094269422,3.75739432474607,3.75678675412871,3.40533178121607
"EYA2",3.92468374971455,4.62805996707565,4.29236842078087,4.1600208097321,4.04939395175399,4.11070108855575,4.09569483105161,4.22004837528742,3.88127649233021,4.21640254365666,3.99416490131923,4.04299247593893
"ALCAM",8.06074008070979,7.83606624781511,7.85086737828168,7.87573544281465,7.85881895186242,7.89825378335605,8.32910296657325,8.32760590164218,8.32211549052465,8.16892827723487,8.32078955236084,8.29381738646801
"EYA3",9.0502772409446,8.75965149917013,8.90638194773727,8.46310860658332,8.54608697577686,8.60139285802912,8.32775046437493,8.45379023053782,8.73155823337437,8.20646689258961,8.27889278723747,8.25104293981064
"EZH1",8.20345329216971,8.17335244289162,8.09032249176877,8.33599494090833,8.38648478290406,8.29807469820474,8.13863831282006,8.29355756203323,8.17579301475716,8.24708905104679,8.39050640666817,8.38719281018302
"EZH2",8.10643593251558,8.02752996643498,8.2615560640403,7.64547169399055,7.83507136150815,7.68989696602736,8.08121467756767,8.25067252664237,8.32466698995098,8.08839377105358,7.94289593445011,7.9216562604264
"F2",4.22193720476971,4.30412760886659,4.16975012463925,4.4315455403297,4.24549468719373,4.51885547474,3.94420798257764,4.27532290017644,4.09367627380198,4.30511796480524,4.22630990222504,4.39893090522612
"F2R",10.8278220725347,10.7665473225899,10.9067622075698,11.4339207625164,11.3478680412695,11.3427020221119,10.9838364262881,11.0964936901636,11.0982908340968,11.4166537213112,11.3907457637835,11.3207997762258
"ABCD1",7.23190782210812,7.23697458202596,7.11198637504075,7.2739395377913,7.31772647925892,7.32630736434546,7.328061176167,7.4539930013645,7.18975949582698,7.32108645888403,7.53622521564793,7.29171817886938
"F2RL1",8.31408075114804,8.5824287991233,8.47610998920872,8.6302308250523,8.71704534803261,8.5764685050639,8.7238798619396,8.82437965360817,8.72444052583367,8.66522602810729,8.73082224827828,8.67336923424852
"F2RL2",10.8410909439158,10.9069605548496,10.7654689255127,11.7300292937086,11.7911596136317,11.7237521871099,10.7434962537168,10.9402496778759,10.5225751206406,11.0820745843299,11.2765267475998,11.2041011569229
"F3",5.20367462989443,5.17974852209633,5.06527012055715,5.2039597098105,4.53669118750227,4.89937191107644,5.35443602383211,5.32537145972654,5.08388038106144,5.22070902838251,5.03369509758841,4.88522880240449
