"gene","X1.4hr.Con.1.y","X2.4hr.CA.1","X3.4hr.ABA.1","X4.4hr.ABTAA.1","X5.4hr.Con.2","X6.4hr.CA1.2","X7.4hr.ABA.2","X8.4hr.ABTAA.2"
"TRAPPC3",41.5802,44.5465,38.9906,36.885,36.5606,36.9637,40.1736,39.2574
"TRAPPC5",50.616,53.8765,54.3736,52.305,45.8339,53.9841,40.7777,51.3442
"TRAPPC6A",6.07134,6.36359,6.56929,9.37117,8.60647,9.28436,6.59552,6.63211
"TRAPPC6B",3.24089,4.05488,3.52464,2.97216,3.20255,2.56003,4.35351,3.19846
"TRAPPC8",6.98172,6.67116,7.83366,6.47589,7.69309,5.71559,8.09502,7.40498
"TRAPPC9",4.4706,5.88144,5.34325,7.26803,6.39168,6.08161,5.48304,5.51582
"TRAT1",0,0,0,0,0,0,0,0
"TRDMT1",3.99889,4.66243,4.57884,4.70613,5.49963,3.70113,4.48268,4.61181
"TRDN",0,0,0,0,0,0,0,0
"TREH",0,0,0,0,0,0,0,0
"TREM1",0,0,0,0,0,0,0,0
"TREM2",0,0,0,0,0,0,0,0
"TREML1",0,0.0863872,0,0.681695,0.426612,0,0,0
"TREML2",0,0,0,0,0,0,0,0
"TREML4",0,0,0,0,0,0,0,0
"TRERF1",5.87803,10.4852,6.09687,11.2087,9.12637,10.8803,6.82177,10.6077
"TREX1",15.858,18.8296,19.93,22.3679,19.8831,22.1817,17.2334,17.0179
"TREX2",0.0591455,0,0.663935,0.220872,0.186954,0.115843,0,0.119547
"TRH",0,0,0,0,0,0,0,0
"TRHDE",0,0,0,0,0,0,0,0
"TRHR",0,0.109997,0,0,0,0.0502513,0.113895,0
"TRIAP1",16.4781,17.9513,15.8013,17.1949,12.2162,14.6373,15.841,14.676
"TRIB1",8.35984,8.66316,9.92944,8.31513,8.13272,9.65148,10.6494,8.80052
"TRIB2",6.11886,8.67582,4.98712,6.98243,7.45675,7.83493,6.8284,7.25749
"TRIB3",12.4505,12.1157,10.2555,11.5505,12.3765,12.1115,11.1869,10.2404
"TRIL",0.34242,0.24449,0.331214,0.442154,0.355982,0.485905,0.378995,0.266106
"TRIM10",0,0,0,0,0,0,0,0
"TRIM11",3.25313,2.34536,2.51176,3.1538,2.94979,3.19476,2.0615,2.386
"TRIM14",2.37543,3.02519,3.42496,2.72608,2.90769,3.27275,2.40508,3.15325
